,단어명,사회1분기빈도수,사회2분기빈도수,사회3분기빈도수,사회4분기빈도수,총빈도수
833,상태,8,10,10,9,37
904,누리꾼,7,13,9,8,37
603,충북,11,8,12,6,37
638,문재인,10,7,13,6,36
1174,급여,6,9,13,8,36
434,예정,14,5,11,6,36
593,현금,11,4,17,4,36
966,취해,7,5,14,10,36
681,헬기,10,13,8,5,36
404,교육감,15,9,3,9,36
2304,징용,1,6,7,22,36
1070,등장,6,11,17,2,36
379,차별,16,9,6,5,36
1814,강용석,3,1,13,19,36
228,블랙리스트,23,8,3,2,36
1717,제품,3,8,18,7,36
602,교육부,11,12,7,5,35
879,직장인,8,12,7,8,35
1548,축제,4,6,14,11,35
340,전환,17,4,9,5,35
1987,대법관,2,10,14,9,35
1593,예산,4,7,18,6,35
2063,식중독,2,3,29,1,35
686,비서,10,11,13,1,35
585,휴대전화,11,10,9,5,35
856,유명,8,12,9,6,35
740,폭언,9,12,9,5,35
731,대비,9,5,16,5,35
690,지방,10,8,11,6,35
293,청장,19,5,8,3,35
694,호선,10,5,5,15,35
532,부담,12,9,8,6,35
881,종로,8,9,1,17,35
708,단계,9,9,13,4,35
2323,불개미,1,13,15,6,35
571,특혜,12,9,10,4,35
713,마음,9,13,10,3,35
380,전달,16,4,10,5,35
660,계획,10,8,14,3,35
1090,남북,6,18,6,4,34
1153,경남,6,4,18,6,34
755,민주,9,11,10,4,34
592,업자,11,5,15,3,34
818,잘못,8,10,5,11,34
843,감독,8,8,9,9,34
1074,불안,6,8,16,4,34
662,최초,10,13,9,2,34
462,추모,13,10,5,6,34
723,이제,9,9,6,10,34
382,축소,16,6,8,4,34
370,인천공항,16,7,7,4,34
1164,누가,6,12,9,7,34
1085,포기,6,9,12,7,34
883,합동,8,13,6,7,34
503,본사,13,15,4,2,34
1252,동의,5,9,12,8,34
1696,여론,3,12,4,15,34
1038,감사,6,5,11,11,33
1377,무기징역,4,16,12,1,33
613,통해,11,9,9,4,33
467,남녀,13,11,4,5,33
1068,연루,6,7,13,7,33
1507,가정,4,15,10,4,33
641,수사권,10,15,6,2,33
1283,지급,5,13,13,2,33
1454,실장,4,5,21,3,33
822,환경,8,11,7,7,33
567,제도,12,10,5,6,33
1103,수술,6,7,13,7,33
523,여전,12,8,8,5,33
1152,교육청,6,6,12,9,33
1098,형사,6,10,13,4,33
334,관여,17,4,10,2,33
1093,투표,6,20,3,4,33
790,예상,8,8,13,4,33
339,배우,17,5,10,1,33
785,업주,9,9,11,4,33
476,중앙,13,3,10,7,33
1832,일베,3,4,25,1,33
619,손님,11,10,6,6,33
1012,하라,7,11,12,3,33
732,처음,9,7,9,7,32
1425,성적,4,9,11,8,32
971,실명,7,5,8,12,32
1795,남용,3,11,11,7,32
780,재난,9,3,16,4,32
786,먼저,9,7,8,8,32
787,복지,9,15,6,2,32
825,전문가,8,5,10,9,32
831,과정,8,7,11,6,32
730,역사,9,10,3,10,32
682,민주당,10,13,5,4,32
695,공포,10,6,11,5,32
725,수용,9,9,11,3,32
666,돌입,10,8,11,3,32
581,현실,11,6,11,4,32
599,보장,11,4,14,3,32
578,식당,11,5,9,7,32
687,패소,10,12,6,4,32
2126,입국,2,9,14,7,32
427,마무리,14,6,10,2,32
390,관계자,15,9,6,2,32
783,무혐의,9,6,10,6,31
1337,거짓,5,12,12,2,31
274,권력,19,4,6,2,31
728,대형,9,5,11,6,31
458,용인,14,8,6,3,31
481,데이트,13,10,5,3,31
1078,반응,6,8,8,9,31
770,개인,9,8,6,8,31
479,협력,13,4,11,3,31
1296,광화문,5,8,12,6,31
1835,평가,3,16,6,6,31
669,충격,10,11,8,2,31
830,가해,8,6,7,10,31
634,예방,10,7,12,2,31
839,선원,8,4,12,7,31
1456,중국인,4,13,11,3,31
895,목숨,7,8,11,5,31
894,게임,7,9,11,4,31
850,작년,8,4,11,8,31
576,부검,12,5,8,6,31
869,분석,8,7,7,9,31
1406,경고,4,14,10,3,31
597,외압,11,10,4,6,31
756,산업,9,11,6,5,31
1073,자전거,6,7,10,8,31
297,이영학,19,2,7,3,31
417,면접,14,5,6,6,31
