,단어명,정치 빈도수,경제 빈도수,사회빈도수,사설빈도수,총빈도수
1523,결제,4,118,5,2,129
2006,스타,2,101,23,3,129
157,예산,54,50,14,10,128
61,국방,102,7,3,16,128
456,가동,23,98,4,3,128
953,세대,10,82,27,9,128
260,나라,37,27,27,36,127
570,처벌,18,18,85,6,127
977,안정,9,110,7,1,127
966,이용,9,90,17,11,127
589,민간,18,85,20,4,127
1103,평균,8,101,15,2,126
71,조명,92,30,3,1,126
351,주민,30,33,57,6,126
483,시위,21,9,81,15,126
110,주간조선,68,11,45,1,125
647,가치,16,93,11,5,125
662,아들,16,13,91,5,125
600,걱정,17,63,29,15,124
894,부부,11,21,87,5,124
596,변경,17,95,10,1,123
322,시민,32,18,67,6,123
286,위원,34,53,33,3,123
287,교체,34,68,14,7,123
372,반발,28,59,33,3,123
109,참석,68,40,13,2,123
751,통상,13,90,11,9,123
985,개인,9,89,21,3,122
612,신설,17,98,6,1,122
347,설치,30,60,29,3,122
920,지급,10,89,21,2,122
386,감사,27,71,20,3,121
1032,폭탄,9,85,15,12,121
520,비상,20,72,27,2,121
104,입장,69,22,24,6,121
1112,사기,8,49,59,4,120
73,고위,89,12,12,7,120
1083,관세,8,110,1,1,120
1537,선고,4,3,110,2,119
180,문재인,51,26,27,15,119
1166,세상,7,67,24,21,119
839,당국,11,94,12,1,118
1946,급락,2,114,1,1,118
1545,임금,4,99,13,2,118
1740,디자인,3,58,9,48,118
52,이해찬,110,3,2,3,118
121,연합,64,35,14,5,118
1241,여행,6,82,23,7,118
181,평창올림픽,51,42,12,13,118
433,이틀,24,63,27,3,117
1257,기부,6,78,31,2,117
206,자유,46,16,32,23,117
1155,한전,7,104,2,4,117
2137,비트코인,2,99,14,2,117
569,의사,18,33,59,7,117
170,임명,52,45,15,5,117
510,기간,21,65,23,7,116
373,여부,28,43,44,1,116
1848,인천공항,3,81,31,1,116
103,석탄,70,35,1,9,115
275,수도,36,51,19,9,115
342,취임,30,66,16,3,115
365,총장,28,7,76,4,115
807,연구원,12,54,48,1,115
166,비서,53,20,41,1,115
2491,열사,1,106,7,1,115
1243,위험,6,68,33,8,115
864,제도,11,89,6,8,114
135,지사,60,10,41,3,114
983,생활,9,93,6,6,114
2249,기각,1,5,105,2,113
1026,가지,9,66,24,14,113
1297,수수료,6,102,4,1,113
1410,남성,5,24,82,2,113
391,보고서,26,77,8,2,113
183,실장,50,30,25,7,112
144,나눔,57,39,15,1,112
129,예술,61,12,28,11,112
2227,데이터,1,106,3,2,112
514,단축,21,76,10,4,111
94,안보,74,11,11,15,111
655,연장,16,80,14,1,111
602,희망,17,76,12,6,111
254,러시아,38,67,3,3,111
410,개입,25,39,41,6,111
871,전력,11,86,11,2,110
301,참가,34,70,4,2,110
879,지정,11,90,7,2,110
198,적폐,48,6,34,22,110
858,시행,11,86,9,3,109
202,생각,46,22,25,16,109
78,남북정상회담,85,13,8,2,108
803,군산,12,67,25,4,108
364,공항,29,33,41,5,108
880,어디,11,55,27,14,107
651,제한,16,66,21,4,107
152,비판,55,21,21,10,107
1569,총재,4,92,9,1,106
813,공인,12,85,4,5,106
2340,인증,1,93,10,2,106
323,비용,32,69,4,1,106
979,투입,9,74,22,1,106
684,부상,15,17,71,3,106
1456,무료,5,75,24,1,105
128,지지,61,23,14,7,105
1170,수도권,7,58,38,2,105
359,공단,29,50,25,1,105
252,포기,38,35,19,13,105
416,등장,25,55,18,7,105
626,구조,17,49,35,3,104
1370,기반,5,95,1,3,104
1540,과학,4,81,10,9,104
357,처음,29,42,27,6,104
628,공유,17,80,4,3,104
2402,근로자,1,68,33,2,104
872,뇌물,11,3,86,3,103
724,동시,14,34,8,47,103
340,간다,30,35,32,6,103
443,긴급,24,35,42,2,103
768,선택,13,50,33,7,103
1009,건물,9,29,57,8,103
473,폐쇄,22,55,17,9,103
1920,가입,2,89,10,1,102
82,특사,84,2,1,15,102
1381,감독,5,52,44,1,102
774,대회,13,53,33,3,102
1991,혜택,2,85,11,4,102
233,역사,41,14,28,19,102
1365,아시아,5,71,25,1,102
475,박근혜,22,5,69,5,101
588,집단,18,23,54,6,101
253,상황,38,46,10,7,101
154,투표,55,33,10,3,101
1881,모집,2,88,10,1,101
1709,이사,3,76,21,1,101
1592,허가,4,82,14,1,101
214,관계,44,28,20,9,101
211,하라,45,15,32,9,101
332,성과,30,62,4,5,101
164,제안,53,29,15,3,100
695,바람,15,55,20,10,100
130,수석,60,17,20,3,100
2356,대우,1,94,3,2,100
1075,전용,8,80,9,2,99
350,의심,30,30,36,3,99
677,성폭력,15,4,79,1,99
722,사태,14,61,16,8,99
2196,콘텐츠,1,94,2,2,99
1050,위원회,8,60,29,1,98
799,공모,12,56,28,2,98
591,기회,18,65,8,7,98
2079,카페,2,61,27,8,98
284,청원,35,7,53,3,98
436,완료,24,68,4,2,98
825,영화,12,43,32,11,98
940,독자,10,20,2,65,97
341,제출,30,44,22,1,97
1116,사랑,7,38,37,15,97
165,철도,53,24,9,11,97
1605,항공,4,84,7,2,97
1720,기능,3,84,9,1,97
705,고민,14,59,19,5,97
1203,다스,7,9,78,2,96
220,안해,42,27,25,2,96
465,도전,22,52,15,7,96
83,개헌안,84,2,2,8,96
251,과거,38,16,29,13,96
656,기사,16,28,49,3,96
598,나선,17,58,15,5,95
1167,거리,7,54,22,12,95
563,다른,18,30,29,18,95
1556,장기,4,69,17,5,95
1723,몰카,3,1,86,5,95
445,적극,23,53,15,4,95
1331,현금,5,73,13,3,94
978,진화,9,47,35,3,94
1226,절반,6,70,14,4,94
488,축소,21,54,14,5,94
101,실무,71,16,3,4,94
882,장사,11,68,8,7,94
184,언론,50,8,22,13,93
772,아내,13,3,74,3,93
172,파견,52,22,17,2,93
1217,기재부,6,85,1,1,93
2416,가스,1,75,16,1,93
127,공연,61,8,17,6,92
935,인력,10,73,8,1,92
273,실패,36,28,14,14,92
1771,식품,3,77,10,2,92
1421,남편,5,6,76,5,92
189,유해,49,14,25,4,92
668,서도,15,44,28,5,92
526,분리,20,60,10,2,92
693,보유,15,64,9,4,92
88,종전,77,3,2,10,92
567,운동,18,22,40,12,92
933,의무,10,59,17,5,91
717,조직,14,57,17,3,91
86,지지율,81,3,1,6,91
407,선수,26,16,40,9,91
491,세월호,21,1,61,7,90
646,시험,16,42,28,4,90
577,교통,18,45,24,3,90
399,가짜,26,20,28,16,90
281,지시,35,12,34,8,89
125,시진핑,62,8,3,16,89
1541,실종,4,8,73,4,89
1949,교사,2,2,82,3,89
2368,리스크,1,81,4,3,89
1017,지진,9,36,41,3,89
948,원인,10,55,21,3,89
764,간부,13,9,62,4,88
435,한국인,24,30,32,2,88
709,민노총,14,11,52,11,88
248,노력,39,33,15,1,88
439,차례,24,17,42,5,88
998,확산,9,47,27,5,88
161,대사,53,8,21,6,88
355,단계,29,44,12,3,88
425,경고,24,34,21,9,88
664,관심,16,53,11,8,88
338,개정,30,49,3,6,88
2253,복합,1,83,2,1,87
257,권력,38,3,25,21,87
1491,독일,4,62,15,6,87
389,강제,26,9,49,3,87
122,언급,64,10,4,9,87
1894,노인,2,30,42,13,87
900,지구,11,67,6,3,87
294,소통,34,39,7,6,86
395,충돌,26,19,37,4,86
1299,근로시간,6,69,7,4,86
264,국정,37,5,37,7,86
878,집회,11,8,66,1,86
2434,아빠,1,12,72,1,86
245,유세,40,43,1,2,86
606,징계,17,30,38,1,86
808,인터뷰,12,52,20,2,86
380,현실,27,44,6,9,86
895,가슴,11,9,18,48,86
178,환영,51,25,8,2,86
173,접촉,52,8,22,3,85
609,공공기관,17,55,7,6,85
1936,고속도로,2,31,50,2,85
630,부인,17,12,54,2,85
396,먼저,26,22,21,16,85
759,총수,13,58,11,3,85
204,차관,46,22,16,1,85
729,발굴,14,36,4,31,85
406,중앙,26,26,32,1,85
914,공원,10,34,36,5,85
1302,여름,6,55,17,7,85
1714,발생,3,48,32,2,85
271,통과,37,41,5,1,84
484,도로,21,29,28,6,84
1403,대학,5,38,31,10,84
98,임종석,73,2,5,4,84
802,보상,12,56,12,4,84
605,보장,17,54,10,3,84
610,제외,17,57,8,2,84
749,붕괴,13,40,25,6,84
678,휴가,15,46,18,5,84
1187,증거,7,7,66,4,84
1698,수술,3,39,41,1,84
521,자리,20,37,18,8,83
910,기금,10,66,5,2,83
405,보복,26,28,21,8,83
827,업자,12,57,9,5,83
2124,발행,2,75,5,1,83
415,첫날,25,46,11,1,83
471,내부,22,43,15,3,83
1175,학생,7,18,49,9,83
694,우선,15,53,12,3,83
811,이제,12,32,19,20,83
848,악화,11,60,8,4,83
2490,투자자,1,72,9,1,83
420,이전,25,47,6,5,83
611,설명,17,55,7,4,83
812,소상,12,64,1,5,82
1087,도심,8,34,34,6,82
393,돌입,26,48,7,1,82
579,자료,18,40,23,1,82
319,위협,32,25,13,12,82
1268,드론,6,66,7,3,82
2237,리포트,1,14,4,63,82
874,분야,11,61,8,2,82
638,재정,16,62,2,2,82
969,코드,9,54,12,6,81
310,사드,33,33,10,5,81
432,관광,24,44,8,5,81
114,유엔,67,4,6,4,81
452,변화,23,49,6,3,81
546,선박,19,52,8,2,81
617,이름,17,28,23,13,81
134,동참,60,14,6,1,81
618,예고,17,41,20,3,81
156,현송월,55,3,15,8,81
1897,퇴직,2,63,13,2,80
1031,미니,9,65,5,1,80
137,민주,59,7,9,5,80
2393,신라,1,69,2,8,80
1821,스포츠,3,57,17,3,80
1892,어린이,2,58,16,3,79
274,무산,36,25,15,3,79
1953,자연,2,14,14,49,79
850,근로,11,46,18,4,79
259,검증,37,28,11,3,79
490,워싱턴,21,7,3,48,79
2266,택배,1,45,31,2,79
2338,해양,1,64,11,3,79
742,복지,13,38,22,5,78
1484,경쟁력,4,70,3,1,78
956,후원,10,50,16,2,78
1444,페이스북,5,66,6,1,78
1775,학교,3,17,46,12,78
2414,체험,1,68,8,1,78
1904,보증,2,74,1,1,78
994,난민,9,1,61,7,78
675,차기,15,53,6,3,77
679,부족,15,46,12,4,77
755,유치원,13,5,51,8,77
2045,인프라,2,71,1,3,77
801,절차,12,46,15,4,77
336,의장,30,29,17,1,77
614,최악,17,37,7,16,77
374,역할,28,38,10,1,77
1449,가을,5,34,28,10,77
1001,본부,9,61,5,1,76
584,시도,18,24,30,4,76
783,작업,12,29,33,2,76
535,청탁,20,4,49,3,76
837,석방,12,6,57,1,76
367,전면,28,39,7,2,76
117,김여정,66,1,3,6,76
140,연락,58,1,16,1,76
441,홍보,24,33,13,5,75
381,유력,27,35,11,2,75
1021,본부장,9,61,3,2,75
1102,방지,8,58,7,2,75
1041,포항,8,19,46,2,75
2500,리더,1,60,9,5,75
453,판단,23,25,25,2,75
1510,맞춤,4,62,8,1,75
1465,이벤트,5,62,1,7,75
1079,인재,8,53,8,5,74
263,공세,37,30,1,6,74
205,의지,46,18,5,5,74
107,정의용,69,1,1,2,73
1037,동결,8,54,9,2,73
852,활성화,11,55,4,3,73
511,진실,21,14,31,7,73
223,탈북,42,3,22,6,73
761,새벽,13,13,44,3,73
494,조건,21,41,3,8,73
256,청산,38,12,9,14,73
250,동맹,38,14,4,17,73
753,허용,13,46,12,2,73
1135,사법,7,3,59,4,73
1285,해소,6,49,16,2,73
571,자문,18,38,15,1,72
873,마을,11,32,25,4,72
476,허위,22,16,31,3,72
1077,얼굴,8,31,25,8,72
719,재산,14,17,39,2,72
548,마음,19,13,30,10,72
725,밀양,14,5,50,3,72
573,사단,18,6,47,1,72
208,여당,46,6,7,13,72
1479,엄마,4,8,58,2,72
1731,메르스,3,21,47,1,72
131,야당,60,2,1,9,72
1069,대법관,8,1,57,5,71
1128,배상,7,13,49,2,71
190,후보자,49,17,4,1,71
1024,부실,9,44,11,7,71
1655,저격,3,3,2,63,71
297,초청,34,27,8,2,71
700,김부선,15,1,54,1,71
149,장하,55,8,4,4,71
2503,대우조선,1,64,4,2,71
1377,파리,5,57,7,2,71
133,비준,60,2,1,8,71
1694,우정,3,6,2,60,71
2130,월드,2,59,9,1,71
261,동의,37,13,14,7,71
477,신뢰,22,36,10,2,70
1921,요금,2,55,9,4,70
1557,운전,4,27,30,9,70
523,해상,20,28,21,1,70
1039,폭로,8,3,57,2,70
875,등록,11,51,7,1,70
906,누가,11,31,14,14,70
934,동반,10,47,10,3,70
946,포인트,10,53,5,2,70
1161,처분,7,40,22,1,70
2501,실형,1,2,66,1,70
375,사전,28,32,7,2,69
185,송영,50,15,3,1,69
348,종료,30,33,5,1,69
738,진짜,13,23,20,13,69
279,약속,36,12,9,12,69
794,여의도,12,44,12,1,69
710,목소리,14,38,11,6,69
2012,엔진,2,64,1,2,69
1701,세트,3,60,4,2,69
899,중심,11,48,5,4,68
431,공격,24,26,10,8,68
1418,대란,5,45,16,2,68
2264,물질,1,53,12,2,68
1538,축제,4,34,25,5,68
748,과제,13,51,2,2,68
1517,정규직,4,43,17,4,68
1501,프로젝트,4,60,3,1,68
2019,지하철,2,23,39,4,68
339,강조,30,29,4,5,68
2032,플라스틱,2,29,32,5,68
2098,배달,2,49,15,2,68
2058,치매,2,36,25,5,68
480,해임,21,24,21,1,67
283,대선,35,4,21,7,67
1552,육성,4,60,2,1,67
1776,가정,3,55,5,4,67
1015,자영,9,50,5,3,67
1252,하늘,6,16,36,9,67
1436,부자,5,42,16,4,67
371,철회,28,33,4,2,67
1214,근무,6,43,16,2,67
1565,운행,4,33,28,2,67
298,수용,34,20,10,3,67
397,뉴욕,26,27,11,3,67
1790,동남아,3,55,6,2,66
1414,월드컵,5,36,17,8,66
777,개방,12,32,16,6,66
1974,파크,2,60,3,1,66
817,참사,12,15,26,13,66
1533,자녀,4,38,23,1,66
1525,보호,4,43,13,6,66
820,자체,12,48,5,1,66
669,공작,15,2,44,5,66
1143,연구소,7,44,14,1,66
412,겨냥,25,32,6,3,66
901,범죄,11,6,44,4,65
138,일화,59,1,1,4,65
1086,장애인,8,24,31,2,65
1568,심리,4,54,6,1,65
1442,남자,5,11,43,6,65
560,대한,19,20,7,19,65
1988,국산,2,55,5,3,65
1797,명예,3,18,41,3,65
645,방식,16,38,5,6,65
278,질문,36,9,16,3,64
2083,행복,2,31,18,13,64
1784,피의자,3,2,58,1,64
174,서울시장,52,6,5,1,64
909,일제,10,40,10,4,64
1440,불안,5,42,15,2,64
