,단어명,정치1분기빈도수,정치2분기빈도수,정치3분기빈도수,정치4분기빈도수,총빈도수
928,발목,1,3,3,2,9
576,보기,4,2,2,1,9
829,시급,2,3,1,3,9
783,화해,2,3,3,1,9
636,악수,4,1,3,1,9
670,미흡,3,4,1,1,9
703,격려,3,2,2,2,9
700,비상,3,2,3,1,9
697,완성,3,4,1,1,9
507,시진핑,5,1,1,2,9
745,생활,2,4,2,1,9
681,관행,3,2,2,2,9
805,상대,2,5,1,1,9
747,대폭,2,2,4,1,9
627,통상,4,1,1,3,9
605,국정원장,4,3,1,1,9
606,선임,4,3,1,1,9
813,발끈,2,3,1,3,9
762,온도,2,4,2,1,9
769,무능,2,4,2,1,9
650,배제,3,2,1,3,9
770,눈길,2,3,1,3,9
779,뒷받침,2,2,3,2,9
645,초점,3,3,1,2,9
759,동안,2,1,4,1,8
625,체육,4,1,1,2,8
904,가야,1,4,1,2,8
730,극복,2,3,2,1,8
574,작년,4,1,2,1,8
717,지연,3,1,3,1,8
916,파탄,1,3,3,1,8
696,배치,3,3,1,1,8
702,주문,3,2,2,1,8
864,취하,1,1,1,5,8
695,폭력,3,2,2,1,8
629,구태,4,2,1,1,8
971,심각,1,2,3,2,8
678,용기,3,2,2,1,8
981,표현,1,1,4,2,8
983,근거,1,3,2,2,8
667,기도,3,1,2,2,8
991,명단,1,2,4,1,8
657,난항,3,1,2,2,8
559,신동빈,5,1,1,1,8
647,눈치,3,2,2,1,8
1006,발생,1,1,1,5,8
872,중도,1,5,1,1,8
641,여전,3,3,1,1,8
799,현역,2,1,4,1,8
821,분열,2,1,3,2,8
794,연결,2,1,3,2,8
843,도약,2,3,2,1,8
835,취약,2,1,3,2,8
822,기원,2,2,3,1,8
850,시동,2,2,3,1,8
600,전화,4,1,2,1,8
778,무슨,2,3,2,1,8
952,흐름,1,3,2,1,7
842,비율,2,2,2,1,7
947,집단,1,2,1,3,7
944,한국인,1,3,2,1,7
644,발족,3,2,1,1,7
798,깜깜,2,2,2,1,7
624,차질,4,1,1,1,7
720,달성,3,1,1,2,7
846,과태료,2,3,1,1,7
725,금융,3,1,1,2,7
733,접대,2,1,3,1,7
924,적임,1,3,2,1,7
740,주시,2,3,1,1,7
818,기조,2,1,3,1,7
744,사흘,2,3,1,1,7
950,교환,1,3,2,1,7
840,김명수,2,1,2,2,7
651,인력,3,1,2,1,7
699,예방,3,1,2,1,7
654,당일,3,2,1,1,7
663,심정,3,1,2,1,7
664,투입,3,1,2,1,7
988,표절,1,1,3,2,7
638,활성화,4,1,1,1,7
812,영광,2,2,2,1,7
