,단어명,정치1분기빈도수,정치2분기빈도수,정치3분기빈도수,정치4분기빈도수,총빈도수
133,필요,17,11,20,9,57
129,여사,17,18,11,10,56
99,국가,21,9,20,6,56
117,공천,18,27,9,2,56
539,고발,5,33,6,11,55
26,미투,50,2,2,1,55
132,요청,17,12,20,6,55
106,하나,20,10,10,14,54
150,협력,16,17,9,11,53
194,정의,13,25,11,4,53
158,구성,15,15,18,5,53
172,최고,14,15,18,6,53
267,대선,10,35,5,3,53
51,권력,34,13,3,2,52
292,확대,9,17,16,10,52
250,사람,11,19,11,11,52
108,확인,19,18,10,5,52
87,불법,23,10,9,10,52
103,지역,20,12,14,6,52
81,자금,24,10,11,6,51
242,역사,11,24,9,7,51
735,김동연,2,3,15,31,51
193,시장,13,28,7,2,50
198,정미,13,11,21,5,50
152,공무원,16,13,13,8,50
164,법원,15,13,6,15,49
264,국회의원,10,27,9,3,49
216,원내대표,12,22,12,3,49
930,예산,1,11,15,22,49
123,준비,18,18,6,7,49
67,인정,26,10,10,3,49
632,고용,4,5,18,22,49
47,김영철,35,5,7,1,48
45,성폭행,37,5,2,4,48
401,교체,7,9,15,16,47
338,원희룡,8,33,4,2,47
137,사회,17,3,22,5,47
326,뉴스,8,14,8,17,47
68,관계,26,11,5,5,47
319,민생,9,19,15,3,46
102,시간,20,11,10,5,46
249,방북,11,5,19,11,46
128,정치권,17,9,14,6,46
130,세월호,17,16,8,5,46
120,주장,18,14,9,5,46
91,보도,22,13,10,1,46
197,기대,13,16,12,4,45
144,부인,16,13,5,11,45
101,압수수색,20,6,14,5,45
232,특별,12,2,12,19,45
174,전략,14,21,2,8,45
246,조명,11,7,6,21,45
98,생각,21,11,5,8,45
996,당권,1,12,29,2,44
224,지지도,12,7,15,10,44
283,모두,10,16,10,8,44
145,지지,16,15,10,3,44
136,거부,17,15,10,2,44
111,취소,19,18,4,3,44
167,한미,15,16,7,6,44
156,전대,16,5,21,2,44
86,추가,23,13,7,1,44
404,공약,7,27,8,1,43
210,안보,13,20,8,2,43
236,계속,11,21,5,6,43
462,당선,6,34,2,1,43
163,일정,15,14,13,1,43
362,처벌,8,17,13,5,43
223,촉구,12,17,9,5,43
185,개입,14,15,13,1,43
181,탄핵,14,3,7,19,43
60,심사,28,6,5,4,43
78,여부,24,12,6,1,43
285,기관,10,18,11,4,43
613,선관위,4,34,3,1,42
113,경기,19,14,5,4,42
411,임명,7,9,8,18,42
307,폐지,9,7,23,3,42
384,이낙연,7,8,13,14,42
154,공세,16,19,5,2,42
240,청산,11,14,11,6,42
208,외교,13,17,9,3,42
161,개선,15,7,15,4,41
160,자유,15,19,4,3,41
73,고위,25,5,2,9,41
363,조치,8,11,17,5,41
619,노무현,4,17,13,7,41
884,비준,1,2,19,18,40
180,예정,14,15,8,3,40
227,법안,12,9,16,3,40
104,환영,20,9,9,2,40
94,재산,21,11,5,2,39
138,행사,17,13,3,6,39
93,의원직,22,11,5,1,39
293,위반,9,13,13,3,38
165,헌법,15,15,3,5,38
217,제안,12,14,8,3,37
505,이상,5,8,17,7,37
209,성과,13,8,10,6,37
159,적폐,15,10,7,5,37
345,본격,8,13,8,8,37
177,사용,14,9,6,8,37
322,도전,9,15,11,1,36
222,속도,12,8,11,5,36
272,의장,10,2,22,2,36
424,삼성,7,15,12,2,36
705,진보,3,13,15,5,36
175,우려,14,8,7,7,36
379,갈등,7,7,17,5,36
169,탈당,15,15,3,3,36
186,해결,14,13,5,4,36
202,비리,13,7,1,15,36
127,당원,18,7,8,2,35
361,진실,8,18,5,4,35
368,위원,8,6,17,4,35
392,평가,7,12,10,6,35
179,지방,14,11,8,2,35
238,주목,11,8,12,4,35
415,실장,7,4,9,15,35
412,친박,7,15,2,11,35
230,오찬,12,8,11,3,34
233,수석,12,8,6,8,34
168,지시,15,10,6,3,34
643,대위,3,15,9,7,34
97,청구,21,7,4,2,34
192,비난,13,8,8,5,34
527,방안,5,16,9,4,34
519,취임,5,13,12,4,34
200,강화,13,7,10,4,34
448,전두환,6,10,14,4,34
433,출신,6,9,12,7,34
213,위기,12,7,10,4,33
706,정상화,3,23,5,2,33
780,스캔들,2,27,3,1,33
178,운영,14,6,8,5,33
225,인상,12,3,12,6,33
449,역대,6,16,8,3,33
211,감사,13,6,6,8,33
561,최저,5,4,23,1,33
300,미국,9,11,9,4,33
207,의지,13,10,8,2,33
484,여성,6,10,14,3,33
299,선택,9,16,7,1,33
201,대한민국,13,9,9,2,33
477,동의,6,4,14,8,32
317,최선,9,9,9,5,32
428,가짜,6,6,5,15,32
