,단어명,경제1분기빈도수,경제2분기빈도수,경제3분기빈도수,경제4분기빈도수,총빈도수
775,창의,3,1,1,4,9
776,먹거리,3,1,4,1,9
777,부품,3,2,6,4,15
778,선수,3,2,2,1,8
779,행진,3,5,11,3,22
780,나이,3,1,1,2,7
781,처리,3,5,8,5,21
782,인프라,3,1,1,4,9
783,뉴욕,3,3,1,2,9
784,식품,3,11,6,2,22
785,이사장,3,2,2,1,8
786,재단,3,4,5,3,15
787,심리,3,1,10,1,15
788,순환,3,3,3,1,10
789,원장,3,2,3,3,11
790,감자,3,3,1,3,10
791,불황,3,5,2,3,13
792,항공사,3,3,5,4,15
793,페이,3,5,1,2,11
794,인공,3,5,2,2,12
795,린다,3,5,2,3,13
796,본사,3,13,5,4,25
797,생명,3,6,13,1,23
798,스위스,3,1,1,1,6
799,특혜,3,4,1,2,10
800,할증,3,1,1,1,6
801,부모,3,1,6,1,11
802,악화,3,3,9,5,20
803,금수,3,2,2,2,9
804,민관,3,2,2,1,8
805,국세,3,2,3,2,10
806,도전,3,3,6,1,13
807,노비타,3,4,2,1,10
808,조기,3,2,5,4,14
809,배터리,3,4,4,2,13
810,의심,3,2,7,6,18
811,벌써,3,2,1,1,7
812,탄생,3,1,1,1,6
813,목적,3,2,1,2,8
814,애플,3,6,5,2,16
815,동남아,3,1,6,2,12
816,마케팅,3,8,5,3,19
817,사례,3,1,3,2,9
818,차량,3,6,9,7,25
819,꼼수,3,3,3,1,10
820,역할,3,5,2,2,12
821,반등,3,2,3,6,14
822,한진,3,25,2,1,31
823,외부,3,4,2,5,14
824,시급,3,2,6,1,12
825,시중,3,1,3,3,10
826,사용자,3,5,7,1,16
827,달성,3,5,3,4,15
828,상환,2,2,2,2,8
829,시상식,2,2,1,2,7
830,수산,2,2,1,1,6
831,청정,2,1,2,1,6
832,제주항공,2,1,2,2,7
833,진화,2,7,7,2,18
834,지수,2,1,8,6,17
835,대체,2,4,2,4,12
836,연구소,2,3,1,1,7
837,미만,2,1,4,2,9
838,특허,2,3,1,1,7
839,선점,2,1,1,2,6
840,도어,2,1,1,1,5
841,비판,2,6,3,1,12
842,운용,2,1,3,4,10
843,물류,2,1,2,2,7
844,장애인,2,1,3,2,8
845,조직,2,4,4,1,11
846,청소년,2,4,3,1,10
847,거점,2,2,1,1,6
848,농가,2,4,4,1,11
849,발생,2,6,6,1,15
850,비즈니스,2,1,3,1,7
851,상담,2,4,8,1,15
852,사항,2,2,2,2,8
853,행차,2,2,1,1,6
854,편성,2,3,3,1,9
855,국면,2,2,5,2,11
856,부채,2,1,3,3,9
857,찬성,2,3,4,2,11
858,개관,2,1,1,1,5
859,대신,2,5,1,2,10
860,이하,2,4,4,4,14
861,대우,2,2,2,1,7
862,요금,2,12,14,3,31
863,지하철,2,2,1,1,6
864,월드,2,3,4,3,12
865,구성,2,2,4,1,9
866,셀프,2,1,2,1,6
867,물량,2,2,1,2,7
868,발굴,2,3,7,3,15
869,배송,2,1,2,2,7
870,면담,2,5,2,1,10
871,해운,2,1,2,1,6
872,변동,2,6,2,1,11
873,차이,2,6,2,1,11
874,국민은행,2,3,4,1,10
875,이노,2,1,5,1,9
876,시범,2,4,4,2,12
877,동영상,2,4,3,2,11
878,방향,2,4,1,1,8
879,부활,2,4,2,2,10
880,본부장,2,1,1,1,5
881,눈앞,2,1,1,3,7
882,실효,2,3,6,1,12
883,의사,2,1,5,4,12
884,산업부,2,3,10,1,16
885,글쎄,2,3,1,2,8
886,가스,2,3,6,2,13
887,업종,2,5,7,1,15
888,중요,2,2,3,1,8
889,고위,2,1,1,2,6
890,마이,2,4,5,2,13
891,향후,2,1,1,3,7
892,실종,2,1,1,1,5
893,물살,2,2,1,1,6
894,케이,2,1,3,1,7
895,영상,2,3,4,2,11
