,단어명,세계빈도수,조선빈도수,한겨레빈도수,총빈도수
448,원칙,21,12,6,39
530,정치인,18,8,13,39
490,범죄,19,11,9,39
541,계파,17,14,8,39
543,주기,17,16,6,39
455,동반,21,10,8,39
686,완전,12,24,3,39
560,최종,17,19,3,39
855,집단,7,18,14,39
612,협조,15,18,6,39
635,투쟁,14,11,14,39
428,적용,22,10,7,39
579,의사,16,18,5,39
672,번영,13,11,14,38
616,자기,14,19,5,38
537,마무리,17,14,7,38
503,폭로,19,8,11,38
633,이름,14,17,7,38
573,정계,16,10,11,37
488,대결,19,11,7,37
808,비상,9,20,8,37
499,공직자,19,7,11,37
597,전국,15,14,8,37
767,마치,10,17,10,37
868,교환,7,17,13,37
749,사단,11,18,8,37
800,부담,9,19,9,37
674,서울시,13,18,6,37
486,강원랜드,19,6,12,37
556,전해철,17,11,9,37
637,차기,14,15,7,36
494,반성,19,9,8,36
739,훼손,11,15,10,36
850,시동,8,12,16,36
632,대한,14,19,3,36
384,쟁점,24,6,6,36
825,체육,8,18,10,36
628,여의도,14,12,10,36
542,환경,17,11,8,36
536,음주운전,17,11,8,36
458,상실,21,6,8,35
751,상징,11,14,10,35
569,반박,16,10,9,35
592,총력,15,14,6,35
565,폭풍,16,14,5,35
951,관광,5,24,6,35
609,대법원,15,9,11,35
646,재단,14,13,8,35
478,방향,20,9,6,35
712,허용,12,13,10,35
796,부총리,9,15,11,35
613,가치,15,16,4,35
520,병원,18,13,4,35
670,탄력,13,11,11,35
837,표현,8,18,9,35
577,특혜,16,8,11,35
699,오른,12,11,12,35
625,해제,14,15,6,35
783,사의,10,17,8,35
576,태풍,16,10,8,34
708,결론,12,13,9,34
587,석방,16,12,6,34
744,시민단체,11,21,2,34
591,면제,15,13,6,34
424,개정안,22,4,8,34
657,공유,13,17,4,34
598,연장,15,16,3,34
566,절차,16,12,6,34
755,무력,10,17,7,34
507,견제,18,13,3,34
529,당론,18,13,3,34
401,증거,23,7,4,34
467,최소,20,12,2,34
831,배치,8,19,7,34
580,부적절,16,12,5,33
497,주재,19,8,6,33
688,위법,12,9,12,33
852,무슨,8,15,10,33
431,김진태,22,5,6,33
665,문화,13,14,6,33
700,기초,12,13,8,33
582,공모,16,12,5,33
726,동원,11,17,5,33
663,이견,13,11,9,33
588,꼼수,16,11,6,33
641,광역단체장,14,13,6,33
605,눈물,15,6,12,33
776,머리,10,11,11,32
765,축하,10,14,8,32
559,소송,17,11,4,32
471,예상,20,8,4,32
704,즉각,12,16,4,32
732,연일,11,13,8,32
671,위로,13,11,8,32
603,입당,15,10,7,32
459,정국,20,4,8,32
821,배제,9,13,10,32
743,가나,11,11,10,32
771,세금,10,14,8,32
631,노동,14,7,11,32
604,경계,15,7,10,32
648,취업,14,8,9,31
754,내주,10,18,3,31
703,중심,12,11,8,31
522,장제원,18,7,5,30
702,애도,12,10,8,30
535,사법부,17,8,5,30
504,선거법,18,8,4,30
353,구형,26,3,1,30
584,보호,16,4,10,30
634,정말,14,8,8,30
764,최악,10,17,3,30
619,판사,14,6,10,30
900,발굴,7,14,9,30
954,까닭,5,11,14,30
677,게임,13,10,7,30
683,시절,12,13,5,30
741,자격,11,11,8,30
692,정무,12,13,5,30
482,이슈,20,5,4,29
668,빈소,13,10,6,29
572,결심,16,10,3,29
523,행정,18,6,5,29
718,수습,11,10,8,29
811,생활,9,9,10,28
795,구축,9,10,9,28
758,진짜,10,13,5,28
766,의무,10,10,8,28
815,통상,9,13,6,28
804,화해,9,8,11,28
518,이준석,18,7,3,28
723,권익위,11,8,9,28
679,근로,13,11,4,28
664,조절,13,13,2,28
707,공직,12,10,6,28
620,해소,14,6,8,28
540,독립,17,4,7,28
640,전망,14,11,3,28
691,조기,12,9,6,27
681,존중,12,8,7,27
722,의회,11,15,1,27
737,작성,11,12,4,27
949,출동,5,16,6,27
762,노총,10,8,9,27
567,차단,16,4,7,27
794,제외,9,17,1,27
630,김태년,14,6,7,27
642,거취,14,7,5,26
643,방침,14,8,4,26
769,조만간,10,14,2,26
904,걱정,6,17,3,26
772,통제,10,10,6,26
773,하자,10,12,4,26
777,당부,10,9,7,26
798,목적,9,8,9,26
539,범위,17,3,6,26
899,지자체,7,15,4,26
809,완성,9,10,7,26
636,일단,14,8,4,26
747,현직,11,10,5,26
706,차원,12,8,6,26
851,전화,8,12,6,26
735,분야,11,11,4,26
727,증가,11,6,9,26
534,고심,18,6,1,25
717,시스템,11,9,5,25
780,엄중,10,9,6,25
690,임박,12,10,3,25
786,일제,10,10,5,25
799,스스로,9,8,8,25
882,리더십,7,9,9,25
595,끝내,15,3,7,25
526,수수,18,5,1,24
736,안상수,11,5,8,24
705,자신,12,9,3,24
733,당시,11,6,7,24
734,정리,11,8,5,24
715,건강,11,11,2,24
752,재난,10,9,5,24
936,답변,6,13,5,24
753,정체,10,9,5,24
593,불복,15,6,3,24
698,자살,12,4,8,24
746,경제부총리,11,10,3,24
874,투입,7,9,8,24
876,활성화,7,11,6,24
817,선임,9,6,8,23
906,움직임,6,13,4,23
858,깜깜,7,13,3,23
791,환수,9,10,4,23
797,무엇,9,4,10,23
867,사흘,7,12,4,23
883,우린,7,14,2,23
801,발목,9,11,3,23
731,안정,11,9,3,23
650,세상,14,7,2,23
586,벌금,16,5,2,23
782,제왕,10,7,6,23
656,직무,13,7,3,23
826,가야,8,6,8,22
813,상대,9,11,2,22
846,현역,8,10,4,22
697,대처,12,8,2,22
685,파일,12,5,5,22
676,정지,13,6,3,22
658,대립,13,6,3,22
655,죄송,13,6,3,22
724,기억,11,1,10,22
644,대치,14,5,3,22
623,구도,14,6,2,22
608,외면,15,6,1,22
923,사임,6,9,7,22
781,얼굴,10,8,4,22
957,초대,5,12,5,22
563,라며,16,4,1,21
689,은퇴,12,5,4,21
713,대권,11,4,6,21
549,방탄,17,3,1,21
714,대가,11,4,6,21
976,부위,4,8,9,21
721,공정,11,6,4,21
790,비례대표,9,5,7,21
977,이란,4,13,4,21
788,정례,9,8,4,21
787,해당,10,9,2,21
770,성범죄,10,4,7,21
816,국정원장,9,9,3,21
814,대폭,9,6,6,21
784,실천,10,6,4,20
929,불허,6,11,3,20
870,인력,7,10,3,20
617,명예훼손,14,4,2,20
