,단어명,정치 빈도수
1583,도심,8
1584,거절,8
1585,리수용,8
1586,최강,8
1587,남조선,8
1588,사안,8
1589,노총,8
1590,최측근,8
1591,이념,8
1592,그대로,8
1593,정말,8
1594,긍정,8
1595,해도,8
1596,주사파,8
1597,대체복무,8
1598,맹공,8
1599,군부,8
1600,보물,8
1601,파탄,8
1602,코피,8
1603,아시안,8
1604,밀수,8
1605,영장,8
1606,주인,8
1607,주재,8
1608,격려,8
1609,대처,8
1610,주시,8
1611,방지,8
1612,평균,8
1613,실수,8
1614,낙마,8
1615,의료,8
1616,마감,8
1617,미스터리,8
1618,정리,8
1619,불가피,8
1620,참패,8
1621,당사,8
1622,기적,8
1623,순위,8
1624,강원도,8
1625,박범계,8
1626,송철호,8
1627,적십자,8
1628,압승,8
1629,전시장,8
1630,군민,8
1631,서병수,8
1632,햄버거,8
1633,메뉴,8
1634,사기,8
1635,매크로,8
1636,고소,8
1637,보라,8
1638,합류,8
1639,차원,8
1640,비행장,8
1641,부위,8
1642,임시국회,8
1643,선거법,8
1644,사각,8
1645,우상호,8
1646,폐막식,8
1647,거래소,8
1648,판매,7
1649,사랑,7
1650,전투기,7
1651,명칭,7
1652,물밑,7
1653,경제정책,7
1654,쌈짓돈,7
1655,아버지,7
1656,문자,7
1657,비분,7
1658,시한,7
1659,심화,7
1660,노동,7
1661,행정부,7
1662,가속,7
1663,강연,7
1664,북방,7
1665,시점,7
1666,경험,7
1667,실제,7
1668,수당,7
1669,세번,7
1670,왕세제,7
1671,심의,7
1672,배상,7
1673,무죄,7
1674,은폐,7
1675,대기업,7
1676,상설,7
1677,여건,7
1678,능력,7
1679,앞서,7
1680,태양광,7
1681,사법,7
1682,근절,7
1683,위헌,7
1684,셀프,7
1685,제왕,7
1686,시나리오,7
1687,전방,7
1688,지침,7
1689,방어,7
1690,연구소,7
1691,조약,7
1692,직무,7
1693,선거구,7
1694,소속,7
1695,인턴,7
1696,봉합,7
1697,기존,7
1698,후반기,7
1699,정해,7
1700,전후,7
1701,위치,7
1702,법적,7
1703,가이드라인,7
1704,고도,7
1705,위장전입,7
1706,무상,7
1707,월급,7
1708,염두,7
1709,정착,7
1710,공직자,7
1711,운용,7
1712,회사,7
1713,한전,7
1714,대로,7
1715,요격,7
1716,소리,7
1717,경계,7
1718,전술,7
1719,방통위,7
1720,공백,7
1721,오락가락,7
1722,불씨,7
1723,처분,7
1724,부통령,7
1725,실질,7
1726,모습,7
1727,어려움,7
1728,양산,7
1729,세상,7
1730,거리,7
1731,특정,7
1732,전제,7
1733,살포,7
1734,화답,7
1735,반등,7
1736,환담,7
1737,수도권,7
1738,자진사퇴,7
1739,영구,7
1740,의장대,7
1741,탑승,7
1742,가방,7
1743,대장,7
1744,학생,7
1745,전세기,7
1746,당일,7
1747,당장,7
1748,입원,7
1749,국면,7
1750,위성,7
1751,이재오,7
1752,순간,7
1753,맞이,7
1754,참여연대,7
1755,화합,7
1756,김상곤,7
1757,지난달,7
1758,하성,7
1759,사항,7
1760,배후,7
1761,몸살,7
1762,별세,7
1763,키즈,7
1764,독대,7
1765,동북아,7
1766,이준석,7
1767,이개,7
1768,증거,7
1769,운동권,7
1770,방산,7
1771,외세,7
1772,범여,7
