,경제단어
1102,"('걱정', 8)"
1103,"('사기', 8)"
1104,"('가열', 8)"
1105,"('시민단체', 8)"
1106,"('화면', 8)"
1107,"('안해', 8)"
1108,"('개정안', 8)"
1109,"('시세', 8)"
1110,"('오류', 8)"
1111,"('주권', 8)"
1112,"('포괄', 8)"
1113,"('예고', 8)"
1114,"('식품', 8)"
1115,"('충격', 8)"
1116,"('대북', 8)"
1117,"('재산', 8)"
1118,"('기반', 8)"
1119,"('상승세', 8)"
1120,"('마을', 8)"
1121,"('접수', 8)"
1122,"('면허', 8)"
1123,"('카', 8)"
1124,"('비밀', 8)"
1125,"('육박', 8)"
1126,"('인도네시아', 8)"
1127,"('뭐', 8)"
1128,"('의견', 8)"
1129,"('심재철', 8)"
1130,"('구제', 8)"
